,bitcoin,ethereum,tether
2020-01-04 12:00:22.956,,7620140273.959606,
2020-01-04 12:04:02.193,24257858646.666702,,
2020-01-04 12:35:51.631,,,27494420795.481987
2020-01-04 13:07:30.885,24310619522.250984,,
2020-01-04 13:07:45.254,,8204507716.481077,
2020-01-04 13:35:05.708,,,27126789616.01024
2020-01-04 14:12:19.999,23767952567.7682,,
2020-01-04 14:12:29.919,,7649490332.229935,
2020-01-04 14:39:23.893,,,26267504097.201897
2020-01-04 15:02:31.805,,7780783275.009623,
2020-01-04 15:07:53.761,22612740714.965145,,
2020-01-04 15:34:30.138,,,25909557331.264225
2020-01-04 16:00:27.974,,7841042685.667753,
2020-01-04 16:09:12.865,22252795429.752445,,
2020-01-04 16:35:52.774,,,25278885345.033287
2020-01-04 17:09:19.262,21394919376.440746,,
2020-01-04 17:12:25.224,,7633609604.060523,
2020-01-04 17:34:39.950,,,24388568647.08747
2020-01-04 18:00:32.608,21139828546.179115,,
2020-01-04 18:02:37.015,,6934566198.221069,
2020-01-04 18:39:53.105,,,23955349418.42725
2020-01-04 19:09:19.344,,6750006832.919895,
2020-01-04 19:09:33.422,21474642400.794964,,
2020-01-04 19:24:13.255,,,24134997622.162556
2020-01-04 20:02:54.043,,7746723587.048801,
2020-01-04 20:09:22.341,21219750999.336422,,
2020-01-04 20:40:11.777,,,24437354687.89761
2020-01-04 21:07:48.721,,7890211533.598581,
2020-01-04 21:07:54.657,21531523769.862926,,
2020-01-04 21:44:20.514,,,24072122929.083054
2020-01-04 22:04:19.049,,7467986236.939237,
2020-01-04 22:09:06.624,21589897517.119457,,
2020-01-04 22:34:44.972,,,23728974688.0252
2020-01-04 23:02:22.623,,7670174622.730402,
2020-01-04 23:02:48.651,21486603961.169434,,
2020-01-04 23:32:41.537,,,23264326342.288887
2020-01-05 00:02:37.849,20611640058.34164,,
2020-01-05 00:04:49.786,,6958393690.018681,
2020-01-05 00:35:45.682,,,23099539213.908146
2020-01-05 01:00:37.824,20982746176.88575,,
2020-01-05 01:04:43.591,,7698986240.427453,
2020-01-05 01:39:14.101,,,23788956607.975143
2020-01-05 02:05:27.593,22356254390.849094,,
2020-01-05 02:09:06.375,,6984730545.18691,
2020-01-05 02:25:33.271,,,24536295072.793003
2020-01-05 03:04:57.176,21979195059.941467,,
2020-01-05 03:07:51.199,,6900689308.884675,
2020-01-05 03:39:35.499,,,24640810983.623817
2020-01-05 04:02:14.711,,6217299202.523179,
2020-01-05 04:02:35.622,22058485158.99282,,
2020-01-05 04:27:43.289,,,24734027944.70846
2020-01-05 05:02:41.108,22195877663.72313,,
2020-01-05 05:05:05.721,,7471423181.306907,
2020-01-05 05:25:39.166,,,24990903150.874886
2020-01-05 06:05:39.389,,6845806063.9745865,
