,bitcoin,ethereum,tether
2020-01-04 03:04:02.161,132422844573.34981,,
2020-01-04 03:09:30.450,,14548145590.29145,
2020-01-04 03:34:46.964,,,4287804867.5299487
2020-01-04 04:05:11.240,,14547283989.260792,
2020-01-04 04:09:30.852,132925195403.05559,,
2020-01-04 04:34:51.110,,,4284552888.497167
2020-01-04 05:04:52.700,,14578263622.150875,
2020-01-04 05:09:11.703,132902294234.27597,,
2020-01-04 05:37:19.551,,,4288795796.3432446
2020-01-04 06:10:32.768,,14581348744.697632,
2020-01-04 06:12:25.005,133047333632.21378,,
2020-01-04 06:35:19.376,,,4290056503.757318
2020-01-04 07:10:18.848,,14601546365.560799,
2020-01-04 07:10:32.428,133065322869.8972,,
2020-01-04 07:39:50.406,,,4284325669.897587
2020-01-04 08:09:17.031,,14602549648.82907,
2020-01-04 08:09:20.384,133082104481.16168,,
2020-01-04 08:25:50.576,,,4284678698.425086
2020-01-04 09:05:23.478,,14606090987.396402,
2020-01-04 09:05:23.646,133371264497.77989,,
2020-01-04 09:24:22.703,,,4285952829.482632
2020-01-04 10:09:23.409,133339914269.90887,,
2020-01-04 10:09:27.788,,14614965801.951572,
2020-01-04 10:39:30.130,,,4285295372.7098823
2020-01-04 11:03:06.458,,14603314945.810814,
2020-01-04 11:04:36.881,133263428503.36026,,
2020-01-04 11:34:13.107,,,4288148537.928005
2020-01-04 12:00:22.956,,14580141772.12313,
2020-01-04 12:04:02.193,132989681863.578,,
2020-01-04 12:35:51.631,,,4287266067.394471
2020-01-04 13:07:30.885,132600199707.27039,,
2020-01-04 13:07:45.254,,14519129129.060055,
2020-01-04 13:35:05.708,,,4283023501.8448987
2020-01-04 14:12:19.999,132593299835.74367,,
2020-01-04 14:12:29.919,,14488956113.103016,
2020-01-04 14:39:23.893,,,4285299518.9783387
2020-01-04 15:02:31.805,,14518705701.190823,
2020-01-04 15:07:53.761,132662003993.08528,,
2020-01-04 15:34:30.138,,,4285322518.9122467
2020-01-04 16:00:27.974,,14537623169.394493,
2020-01-04 16:09:12.865,132682676264.73436,,
2020-01-04 16:35:52.774,,,4283908962.6094427
2020-01-04 17:09:19.262,132567230833.13197,,
2020-01-04 17:12:25.224,,14539913889.62619,
2020-01-04 17:34:39.950,,,4287371863.9763637
2020-01-04 18:00:32.608,133120015437.77747,,
2020-01-04 18:02:37.015,,14660425059.694,
2020-01-04 18:39:53.105,,,4289411388.0919623
2020-01-04 19:09:19.344,,14558130182.334127,
2020-01-04 19:09:33.422,132480804434.63403,,
2020-01-04 19:24:13.255,,,4282629797.3608694
2020-01-04 20:02:54.043,,14632927925.51014,
2020-01-04 20:09:22.341,133064375217.01015,,
2020-01-04 20:40:11.777,,,4288801175.2110047
2020-01-04 21:07:48.721,,14620986320.463976,
2020-01-04 21:07:54.657,133148987789.12288,,
2020-01-04 21:44:20.514,,,4288390123.8198476
2020-01-04 22:04:19.049,,14639817169.409803,
2020-01-04 22:09:06.624,133380766996.94652,,
2020-01-04 22:34:44.972,,,4288679615.8257856
2020-01-04 23:02:22.623,,14650657379.934217,
2020-01-04 23:02:48.651,133334712347.73228,,
2020-01-04 23:32:41.537,,,4284195468.8068585
2020-01-05 00:02:37.849,133474716218.18333,,
2020-01-05 00:04:49.786,,14636213160.069315,
2020-01-05 00:35:45.682,,,4286140656.865157
2020-01-05 01:00:37.824,133904816851.04927,,
2020-01-05 01:04:43.591,,14668615248.843956,
2020-01-05 01:39:14.101,,,4296912047.522097
2020-01-05 02:05:27.593,134998811073.371,,
2020-01-05 02:09:06.375,,14782863009.178825,
2020-01-05 02:25:33.271,,,4281330859.422002
2020-01-05 03:04:57.176,134986440187.89389,,
2020-01-05 03:07:51.199,,14774282891.066221,
2020-01-05 03:39:35.499,,,4291485812.6998034
2020-01-05 04:02:14.711,,14813703373.863562,
2020-01-05 04:02:35.622,135448050571.44283,,
2020-01-05 04:27:43.289,,,4280485545.1810007
2020-01-05 05:02:41.108,135151238236.73291,,
2020-01-05 05:05:05.721,,14823364394.865305,
2020-01-05 05:25:39.166,,,4288424307.6684375
2020-01-05 06:05:39.389,,14853738392.55746,
2020-01-05 06:07:46.679,135166357445.37366,,
2020-01-05 06:47:38.829,,,4286444270.745191
2020-01-05 07:07:38.195,,14847966103.725529,
2020-01-05 07:09:23.861,135123529443.20596,,
2020-01-05 07:43:05.639,,,4287855330.033251
2020-01-05 08:00:41.566,,14840785346.874847,
2020-01-05 08:08:57.732,135297632785.78407,,
2020-01-05 08:26:07.610,,,4289619002.3945045
2020-01-05 09:02:48.839,134703891431.3856,,
2020-01-05 09:05:23.926,,14751672303.396904,
2020-01-05 09:25:53.893,,,4287449007.1221685
2020-01-05 10:09:12.749,,14754208719.612886,
2020-01-05 10:09:25.599,134719468253.30014,,
2020-01-05 10:42:39.013,,,4285900551.9828205
2020-01-05 11:02:58.018,,14705303267.60396,
2020-01-05 11:05:35.840,134441410525.73854,,
2020-01-05 11:29:07.525,,,4287984643.0111794
2020-01-05 12:00:32.538,,14746624266.618128,
2020-01-05 12:07:41.235,134536894749.15086,,
2020-01-05 12:37:22.930,,,4287727924.9637322
2020-01-05 13:02:56.933,,14798626973.916218,
2020-01-05 13:03:05.702,134920012404.91023,,
2020-01-05 13:39:31.432,,,4277752917.9608965
2020-01-05 14:04:30.830,134700127031.82394,,
2020-01-05 14:04:55.972,,14783836235.23494,
2020-01-05 14:34:32.600,,,4288261587.594908
2020-01-05 15:04:58.509,134799212132.44984,,
2020-01-05 15:09:00.950,,14804742509.8472,
2020-01-05 15:39:48.695,,,4283403742.8004565
2020-01-05 16:02:45.102,135225144812.41405,,
2020-01-05 16:04:24.327,,14958976435.113077,
2020-01-05 16:20:09.202,,,4283741354.6697426
2020-01-05 17:02:38.802,,15000677377.919785,
2020-01-05 17:04:27.479,135304549348.27298,,
2020-01-05 17:19:51.449,,,4286421392.1945186
2020-01-05 18:02:57.154,,15051596062.179544,
2020-01-05 18:04:51.641,135253353087.40796,,
2020-01-05 18:39:35.491,,,4282207746.5858684
2020-01-05 19:05:01.153,,14992787909.677414,
2020-01-05 19:05:10.030,134979190511.09593,,
2020-01-05 19:39:47.280,,,4285267003.0635233
2020-01-05 20:04:41.152,,15019359398.601841,
2020-01-05 20:04:49.344,134926283886.1701,,
2020-01-05 20:34:53.460,,,4284154404.599729
2020-01-05 21:00:36.903,,15029220472.807743,
2020-01-05 21:04:57.214,134789881490.81137,,
2020-01-05 21:38:57.075,,,4276966605.460049
2020-01-05 22:04:46.258,,14806937018.760326,
2020-01-05 22:05:39.600,134038152875.9552,,
2020-01-05 22:26:16.511,,,4283111444.851374
2020-01-05 23:04:30.566,,14702217986.022335,
2020-01-05 23:09:10.822,133297654886.89131,,
2020-01-05 23:45:03.399,,,4286176793.273563
2020-01-06 00:04:58.636,133388991086.87987,,
2020-01-06 00:05:22.330,,14738834254.266087,
2020-01-06 00:44:33.393,,,4286391139.0990696
2020-01-06 01:09:40.116,133716091081.16924,,
2020-01-06 01:09:47.883,,14788834528.628778,
2020-01-06 01:37:00.698,,,4283031260.787738
2020-01-06 02:02:42.902,,14868639930.207907,
2020-01-06 02:02:51.693,134033327437.28116,,
2020-01-06 02:39:04.982,,,4286525374.644975
2020-01-06 03:02:22.401,,15131431760.186893,
2020-01-06 03:09:34.238,136819033026.64232,,
2020-01-06 03:34:52.154,,,4283228009.1125584
2020-01-06 04:05:40.599,136579397696.84608,,
2020-01-06 04:07:24.938,,15196505307.334454,
2020-01-06 04:39:42.226,,,4282172789.029735
2020-01-06 05:05:27.321,136593547347.06609,,
2020-01-06 05:07:18.122,,15199611068.6814,
2020-01-06 05:42:55.914,,,4280540606.156281
2020-01-06 06:04:54.268,,15143776696.868288,
2020-01-06 06:09:46.043,136130403884.73721,,
2020-01-06 06:34:27.172,,,4278820693.8057284
2020-01-06 07:02:52.179,136204413096.74796,,
2020-01-06 07:08:55.531,,15154910816.856625,
2020-01-06 07:19:20.553,,,4283439702.163867
2020-01-06 08:02:30.088,,15144189389.57087,
2020-01-06 08:09:35.904,136104310044.10127,,
2020-01-06 08:32:46.704,,,4285166066.7634625
2020-01-06 09:02:27.205,136583954477.43538,,
2020-01-06 09:02:52.653,,15246385494.91465,
2020-01-06 09:37:28.206,,,4282934727.5731378
2020-01-06 10:02:32.253,136679361731.23564,,
2020-01-06 10:04:46.116,,15322208382.185097,
2020-01-06 10:39:30.485,,,4282287218.344525
2020-01-06 11:02:26.761,136819166589.1963,,
2020-01-06 11:02:35.119,,15410736587.654535,
2020-01-06 11:30:00.635,,,4285038193.798568
2020-01-06 12:02:27.483,136602681733.61935,,
2020-01-06 12:02:32.855,,15392537916.786629,
2020-01-06 12:20:13.742,,,4285177096.5618243
2020-01-06 13:04:27.495,,15502907769.466953,
2020-01-06 13:05:55.659,136959333644.23439,,
2020-01-06 13:24:55.218,,,4286657138.708964
2020-01-06 14:04:04.768,,15529050190.997774,
2020-01-06 14:09:29.636,136311572952.04561,,
2020-01-06 14:34:27.600,,,4284446435.8561025
2020-01-06 15:02:58.399,,15429078816.616156,
2020-01-06 15:04:58.600,136748449022.98352,,
2020-01-06 15:39:33.972,,,4288726894.9154143
2020-01-06 16:07:36.088,136365871987.70523,,
2020-01-06 16:07:42.601,,15296420993.690931,
2020-01-06 16:39:27.823,,,4282272549.2500978
2020-01-06 17:02:54.671,136389155166.80861,,
2020-01-06 17:09:35.994,,15347729151.24394,
2020-01-06 17:32:22.538,,,4284866648.5390415
2020-01-06 18:04:51.121,136790684473.10909,,
2020-01-06 18:05:36.894,,15443109013.767159,
2020-01-06 18:27:39.704,,,4280717509.6138473
2020-01-06 19:05:36.973,136509093723.6567,,
2020-01-06 19:07:41.675,,15372426760.110046,
2020-01-06 19:32:49.345,,,4285553100.4147186
2020-01-06 20:09:46.249,136624909997.2155,,
2020-01-06 20:09:53.867,,15409262993.04814,
2020-01-06 20:39:50.894,,,4282339343.684464
2020-01-06 21:05:22.827,136718153374.18196,,
2020-01-06 21:09:49.553,,15472002955.129004,
2020-01-06 21:34:59.961,,,4285454738.262185
2020-01-06 22:03:52.933,137410585616.61351,,
2020-01-06 22:05:41.231,,15467483254.150143,
2020-01-06 22:39:27.210,,,4286129380.3335395
2020-01-06 23:04:04.288,,15607584019.658764,
2020-01-06 23:05:36.508,139569900229.26373,,
2020-01-06 23:39:34.791,,,4284235952.7711196
2020-01-07 00:02:37.613,,15692578635.119993,
2020-01-07 00:02:45.953,140557168287.4443,,
2020-01-07 00:49:26.250,,,4272266584.2134366
2020-01-07 01:02:43.505,143274240563.12308,,
2020-01-07 01:09:32.514,,15632647021.775282,
2020-01-07 01:40:39.159,,,4282448301.063627
2020-01-07 02:07:32.563,,15695958213.168608,
2020-01-07 02:09:46.941,142936085527.04892,,
2020-01-07 02:39:23.752,,,4286065789.224881
2020-01-07 03:06:06.254,,15714693926.051119,
2020-01-07 03:13:44.105,143356640875.43338,,
2020-01-07 03:37:52.183,,,4283244166.935726
2020-01-07 04:05:31.264,,15684976465.368582,
2020-01-07 04:09:44.143,143127737663.955,,
2020-01-07 04:44:39.567,,,4282151519.6592093
2020-01-07 05:02:43.220,,15550806376.113945,
2020-01-07 05:09:40.528,141718713498.77197,,
2020-01-07 05:34:52.880,,,4292077351.050651
2020-01-07 06:07:29.093,,15596399187.155666,
2020-01-07 06:10:13.769,142615854946.42523,,
2020-01-07 06:39:07.898,,,4283242339.27381
2020-01-07 07:02:25.118,142302080521.741,,
2020-01-07 07:07:26.434,,15577310286.368427,
2020-01-07 07:37:34.629,,,4287389065.837427
2020-01-07 08:02:50.703,142760076653.36835,,
