,bitcoin,ethereum,tether
2022-07-06 01:01:01.796,,1146.2336560098765,
2022-07-06 01:01:02.712,20317.117735947584,,
2022-07-06 01:01:14.247,,,0.9999642853576819
2022-07-06 02:02:18.696,19890.314183225913,,
2022-07-06 02:02:19.235,,,1.0063521109091182
2022-07-06 02:02:19.684,,1116.7685307671925,
2022-07-06 03:00:33.241,,,1.0006999766278297
2022-07-06 03:01:15.512,19885.77210297521,,
2022-07-06 03:01:30.696,,1120.5666144489737,
2022-07-06 04:01:02.304,,1130.2721955216223,
2022-07-06 04:01:50.197,,,1.0005769939072013
2022-07-06 04:02:32.782,19952.54586129623,,
2022-07-06 05:00:26.818,,,0.9988646265282246
2022-07-06 05:00:49.171,20091.19166114244,,
2022-07-06 05:00:57.429,,1133.893885452624,
2022-07-06 06:00:29.663,,1131.2038918180788,
2022-07-06 06:00:35.748,20027.0635495064,,
2022-07-06 06:02:55.418,,,0.9985985554843251
2022-07-06 07:01:44.195,20106.13398007574,,
2022-07-06 07:01:47.863,,1135.0310782315757,
2022-07-06 07:01:48.142,,,1.0022109112419897
2022-07-06 08:01:37.908,,1139.5171027744693,
2022-07-06 08:01:54.572,,,1.0014180443545304
2022-07-06 08:02:41.818,20178.31391680437,,
2022-07-06 09:00:07.996,20176.981250758858,,
2022-07-06 09:01:03.626,,1140.0958030864724,
2022-07-06 09:01:37.553,,,1.0004692942659352
2022-07-06 10:02:16.373,,,1.000049335694202
2022-07-06 10:02:17.410,,1144.508598395374,
2022-07-06 10:02:20.239,20169.230609182665,,
2022-07-06 11:00:33.803,20109.497598994883,,
2022-07-06 11:00:47.545,,1138.532006716211,
2022-07-06 11:00:52.302,,,0.9993420136861594
2022-07-06 12:00:18.688,,,1.000453196538866
2022-07-06 12:00:33.846,20115.265001485193,,
2022-07-06 12:02:15.475,,1134.3120546450211,
2022-07-06 13:00:51.339,,1136.031582753644,
2022-07-06 13:00:55.155,,,1.0000272558938064
2022-07-06 13:01:12.158,20140.39323051902,,
2022-07-06 14:02:21.689,,1139.7543408931638,
2022-07-06 14:02:28.201,,,0.9998104295519381
2022-07-06 14:02:45.315,20201.58877078227,,
2022-07-06 15:00:13.468,20175.12651482109,,
2022-07-06 15:01:02.279,,1137.8216084923922,
2022-07-06 15:01:37.342,,,1.0009436941395988
2022-07-06 16:01:25.663,20141.371884306947,,
2022-07-06 16:01:31.219,,1132.965154272815,
2022-07-06 16:01:45.751,,,0.9994196188897985
2022-07-06 17:00:50.867,,,1.0008333070057962
2022-07-06 17:00:53.980,20296.168707792145,,
2022-07-06 17:01:56.430,,1145.3723501903105,
2022-07-06 18:00:49.165,,,0.9999396050718208
2022-07-06 18:01:54.714,20271.648394864576,,
2022-07-06 18:01:57.611,,1141.3770595663957,
2022-07-06 19:02:52.395,20393.84111208925,,
2022-07-06 19:02:55.917,,1161.862622565409,
2022-07-06 19:02:58.364,,,1.001314643918831
2022-07-06 20:01:38.145,,1152.8968150541104,
2022-07-06 20:02:04.380,20313.50615349289,,
2022-07-06 20:02:17.147,,,1.0004403215366657
2022-07-06 21:00:55.710,,,1.0016752637854398
2022-07-06 21:01:40.403,20439.18359558386,,
2022-07-06 21:02:10.924,,1163.2970825562497,
2022-07-06 22:01:48.946,,1161.5719160286415,
2022-07-06 22:02:28.266,20347.961860498646,,
2022-07-06 22:02:35.497,,,1.000519800955921
2022-07-06 23:00:40.748,,1190.777204084401,
2022-07-06 23:01:23.885,,,1.001509913439766
2022-07-06 23:02:46.046,20517.772667383317,,
2022-07-07 00:02:38.514,20566.68722377,,
2022-07-07 00:02:55.947,,,0.9994609573231975
2022-07-07 00:02:58.432,,1188.72564292538,
2022-07-07 01:01:22.372,,1185.3818133875238,
2022-07-07 01:01:24.079,20535.44571738045,,
2022-07-07 01:01:24.746,,,0.9990882530333699
2022-07-07 02:01:39.771,,1185.339572618919,
2022-07-07 02:01:44.886,,,1.0003835899872437
2022-07-07 02:02:05.637,20518.761383362213,,
2022-07-07 03:00:35.489,,1170.8774021275667,
2022-07-07 03:01:58.777,20408.25218603058,,
2022-07-07 03:02:47.714,,,1.000331165195538
2022-07-07 04:00:34.772,,1175.4105045344802,
2022-07-07 04:02:07.183,20478.14946195652,,
2022-07-07 04:02:25.636,,,1.0004505828445451
2022-07-07 05:00:48.873,,,1.0005858404117502
2022-07-07 05:01:29.644,20414.882230024352,,
2022-07-07 05:01:33.949,,1171.3955916200875,
2022-07-07 06:00:49.883,20347.039132249396,,
2022-07-07 06:00:51.923,,,1.0010667667393267
2022-07-07 06:00:55.409,,1168.7950690137905,
2022-07-07 07:00:16.249,,1168.96147213206,
2022-07-07 07:00:56.776,20351.717831737435,,
2022-07-07 07:02:38.306,,,1.000757381083634
2022-07-07 08:01:29.466,,,1.0006402125399991
2022-07-07 08:01:49.628,,1176.7606899637997,
2022-07-07 08:02:34.075,20440.234783645148,,
2022-07-07 09:02:44.846,,1185.018203364041,
2022-07-07 09:03:31.757,,,1.0002542497642952
2022-07-07 09:04:01.109,20519.84596491982,,
2022-07-07 10:00:46.940,20558.593801908097,,
2022-07-07 10:00:59.807,,,1.000278996577273
2022-07-07 10:01:25.683,,1185.3744602714416,
2022-07-07 11:01:20.130,,1184.7519945385247,
2022-07-07 11:01:21.697,,,1.0004812359492512
2022-07-07 11:01:25.307,20506.07786226934,,
2022-07-07 12:00:47.563,,,1.000217866038942
2022-07-07 12:00:51.299,,1182.7450440403381,
2022-07-07 12:01:00.071,20477.530133130567,,
2022-07-07 13:00:55.523,20430.75977839776,,
2022-07-07 13:00:55.692,,1186.9328192144228,
